Uploaded to Postgres DB,Uploaded to popchange-data.liverpool.ac.uk,Percentage,Complete,Category,Name,Year,Table Number,Column Number,Denominator,Input File Name,Column Code,ColumnCode Length,Notes,Output Filename
,,,x,Health,Limiting Long Term Illness,1981,,,,,,0,"Not Avaliable (introduced in 1991, https://discover.ukdataservice.ac.uk/catalogue/?sn=22001)",
,,,x,Health,Limiting Long Term Illness,1971,,,,,,0,"Not Avaliable (introduced in 1991, https://discover.ukdataservice.ac.uk/catalogue/?sn=22001)",
,,,x,Health,General Health,1981,,,,,,0,Not Available,
,,,x,Health,General Health,1971,,,,,,0,Not Available,
,,,x,Health,General Health,1991,,,,,,0,Not Available,
,,NA,x,Age,Age All Categories,2001,KS002,ks0020001,,2001-OA-attributes_ks002,AgeAll,6,,5a_ascii_grid2001_Age_AgeAll.asc
,,done,x,Age,Age 0 to 4,2001,KS002,ks0020002,,2001-OA-attributes_ks002,Age0-4,6,,5a_ascii_grid2001_Age_Age0.4.asc
,,done,x,Age,Age 5 to 7,2001,KS002,ks0020003,,2001-OA-attributes_ks002,Age5-7,6,,5a_ascii_grid2001_Age_Age10.14.asc
,,done,x,Age,Age 8 to 9,2001,KS002,ks0020004,,2001-OA-attributes_ks002,Age8-9,8,,5a_ascii_grid2001_Age_Age15.asc
,,done,x,Age,Age 10 to 14,2001,KS002,ks0020005,,2001-OA-attributes_ks002,Age10-14,5,,5a_ascii_grid2001_Age_Age16.17.asc
,,done,x,Age,Age 15,2001,KS002,ks0020006,,2001-OA-attributes_ks002,Age15,8,,5a_ascii_grid2001_Age_Age18.19.asc
,,done,x,Age,Age 16 to 17,2001,KS002,ks0020007,,2001-OA-attributes_ks002,Age16-17,8,,5a_ascii_grid2001_Age_Age20.24.asc
,,done,x,Age,Age 18 to 19,2001,KS002,ks0020008,,2001-OA-attributes_ks002,Age18-19,8,,5a_ascii_grid2001_Age_Age25.29.asc
,,done,x,Age,Age 20 to 24,2001,KS002,ks0020009,,2001-OA-attributes_ks002,Age20-24,8,,5a_ascii_grid2001_Age_Age30.44.asc
,,done,x,Age,Age 25 to 29,2001,KS002,ks0020010,,2001-OA-attributes_ks002,Age25-29,8,,5a_ascii_grid2001_Age_Age45.59.asc
,,done,x,Age,Age 30 to 44,2001,KS002,ks0020011,,2001-OA-attributes_ks002,Age30-44,8,,5a_ascii_grid2001_Age_Age5.7.asc
,,done,x,Age,Age 45 to 59,2001,KS002,ks0020012,,2001-OA-attributes_ks002,Age45-59,8,,5a_ascii_grid2001_Age_Age60.64.asc
,,done,x,Age,Age 60 to 64,2001,KS002,ks0020013,,2001-OA-attributes_ks002,Age60-64,8,,5a_ascii_grid2001_Age_Age65.69.asc
,,done,x,Age,Age 65 to 69,2001,KS002,ks0020014,,2001-OA-attributes_ks002,Age65-69,8,,5a_ascii_grid2001_Age_Age70.84.asc
,,done,x,Age,Age 70 to 84,2001,KS002,ks0020015,,2001-OA-attributes_ks002,Age70-84,8,,5a_ascii_grid2001_Age_Age8.9.asc
,,done,x,Age,Age 85 to 89,2001,KS002,ks0020016,,2001-OA-attributes_ks002,Age85-89,8,,5a_ascii_grid2001_Age_Age85.89.asc
,,done,x,Age,Age 90 plus,2001,KS002,ks0020017,,2001-OA-attributes_ks002,Age90plu,8,,5a_ascii_grid2001_Age_Age90plu.asc
,20160823,20160823,x,Age,Age 0 � 14,2011,KS102,(derived),#N/A,2011-OA-attributes-ks102,(derived),,,5a_ascii_grid2011_Age_Age0_14.asc
,20160823,20160823,x,Age,Age 15 � 19,2011,KS102,(derived),#N/A,2011-OA-attributes-ks102,(derived),,,5a_ascii_grid2011_Age_Age15_19.asc
,20160823,20160823,x,Age,Age 20 � 24,2011,KS102,(derived),#N/A,2011-OA-attributes-ks102,(derived),,,5a_ascii_grid2011_Age_Age20_24.asc
,20160823,20160823,x,Age,Age 25 � 29,2011,KS102,(derived),#N/A,2011-OA-attributes-ks102,(derived),,,5a_ascii_grid2011_Age_Age25_29.asc
,20160823,20160823,x,Age,Age 30 � 44,2011,KS102,(derived),#N/A,2011-OA-attributes-ks102,(derived),,,5a_ascii_grid2011_Age_Age30_44.asc
,20160823,20160823,x,Age,Age 45 � 59,2011,KS102,(derived),#N/A,2011-OA-attributes-ks102,(derived),,,5a_ascii_grid2011_Age_Age45_59.asc
,20160823,20160823,x,Age,Age 60 � 64,2011,KS102,(derived),#N/A,2011-OA-attributes-ks102,(derived),,,5a_ascii_grid2011_Age_Age60_64.asc
,20160823,20160823,x,Age,Age 65 plus,2011,KS102,(derived),#N/A,2011-OA-attributes-ks102,(derived),,,5a_ascii_grid2011_Age_Age65p.asc
,,done,x,Age,All categories: Age,2011,KS102,KS102EW0001,,2011-OA-attributes-ks102,Column Code,11,,5a_ascii_grid2011_Age_AgeAll.asc
,,done,x,Age,Age 0 to 4,2011,KS102,KS102EW0002,,2011-OA-attributes-ks102,Age0-4,6,,5a_ascii_grid2011_Age_Age0.4.asc
,,done,x,Age,Age 5 to 7,2011,KS102,KS102EW0003,,2011-OA-attributes-ks102,Age5-7,6,,5a_ascii_grid2011_Age_Age5.7.asc
,,done,x,Age,Age 8 to 9,2011,KS102,KS102EW0004,,2011-OA-attributes-ks102,Age8-9,6,,5a_ascii_grid2011_Age_Age8.9.asc
,,done,x,Age,Age 10 to 14,2011,KS102,KS102EW0005,,2011-OA-attributes-ks102,Age10-14,8,,5a_ascii_grid2011_Age_Age10.14.asc
,,done,x,Age,Age 15,2011,KS102,KS102EW0006,,2011-OA-attributes-ks102,Age15,5,,5a_ascii_grid2011_Age_Age15.asc
,,done,x,Age,Age 16 to 17,2011,KS102,KS102EW0007,,2011-OA-attributes-ks102,Age16-17,8,,5a_ascii_grid2011_Age_Age16.17.asc
,,done,x,Age,Age 18 to 19,2011,KS102,KS102EW0008,,2011-OA-attributes-ks102,Age18-19,8,,5a_ascii_grid2011_Age_Age18.19.asc
,,done,x,Age,Age 20 to 24,2011,KS102,KS102EW0009,,2011-OA-attributes-ks102,Age20-24,8,,5a_ascii_grid2011_Age_Age20.24.asc
,,done,x,Age,Age 25 to 29,2011,KS102,KS102EW0010,,2011-OA-attributes-ks102,Age25-29,8,,5a_ascii_grid2011_Age_Age25.29.asc
,,done,x,Age,Age 30 to 44,2011,KS102,KS102EW0011,,2011-OA-attributes-ks102,Age30-44,8,,5a_ascii_grid2011_Age_Age30.44.asc
,,done,x,Age,Age 45 to 59,2011,KS102,KS102EW0012,,2011-OA-attributes-ks102,Age45-59,8,,5a_ascii_grid2011_Age_Age45.59.asc
,,done,x,Age,Age 60 to 64,2011,KS102,KS102EW0013,,2011-OA-attributes-ks102,Age60-64,8,,5a_ascii_grid2011_Age_Age60.64.asc
,,done,x,Age,Age 65 to 74,2011,KS102,KS102EW0014,,2011-OA-attributes-ks102,Age65-69,8,,5a_ascii_grid2011_Age_Age65.69.asc
,,done,x,Age,Age 75 to 84,2011,KS102,KS102EW0015,,2011-OA-attributes-ks102,Age70-84,8,,5a_ascii_grid2011_Age_Age70.84.asc
,,done,x,Age,Age 85 to 89,2011,KS102,KS102EW0016,,2011-OA-attributes-ks102,Age85-89,8,,5a_ascii_grid2011_Age_Age85.89.asc
,,done,x,Age,Age 90 and over,2011,KS102,KS102EW0017,,2011-OA-attributes-ks102,Age90plu,8,,5a_ascii_grid2011_Age_Age90plu.asc
,,done,x,Age,Mean age,2011,KS102,KS102EW0018,,2011-OA-attributes-ks102,AgeMean,7,,5a_ascii_grid2011_Age_AgeMean.asc
,,done,x,Age,Median age,2011,KS102,KS102EW0019,,2011-OA-attributes-ks102,AgeMedin,8,,5a_ascii_grid2011_Age_AgeMedin.asc
,,done,x,Age,Age 0 to 14 Males Single/Widowed/Divorced,1971,SAS07,c71s07_269,,1971_sas07_present_persons,A0-14MSi,8,,5a_ascii_grid1971_Age_A0.14MSi.asc
,,done,x,Age,Age 0 to 14 Females Single/Widowed/Divorced,1971,SAS07,c71s07_297,,1971_sas07_present_persons,A0-14FSi,8,,5a_ascii_grid1971_Age_A0.14FSi.asc
,,done,x,Age,Age 15 to 19 Males Single/Widowed/Divorced,1971,SAS07,c71s07_270,,1971_sas07_present_persons,A15-19MS,8,,5a_ascii_grid1971_Age_A15.19MS.asc
,,done,x,Age,Age 15 to 19 Males Married,1971,SAS07,c71s07_284,,1971_sas07_present_persons,A15-19MM,8,,5a_ascii_grid1971_Age_A15.19MM.asc
,,done,x,Age,Age 15 to 19 Females Single/Widowed/Divorced,1971,SAS07,c71s07_298,,1971_sas07_present_persons,A15-19FS,8,,5a_ascii_grid1971_Age_A15.19FS.asc
,,done,x,Age,Age 15 to 19 Females Married ,1971,SAS07,c71s07_312,,1971_sas07_present_persons,A15-19FM,8,,5a_ascii_grid1971_Age_A15.19FM.asc
,,done,x,Age,Age 20 to 24 Males Single/Widowed/Divorced,1971,SAS07,c71s07_271,,1971_sas07_present_persons,A20-24MS,8,,5a_ascii_grid1971_Age_A20.24MS.asc
,,done,x,Age,Age 20 to 24 Males Married,1971,SAS07,c71s07_285,,1971_sas07_present_persons,A20-24MM,8,,5a_ascii_grid1971_Age_A20.24MM.asc
,,done,x,Age,Age 20 to 24 Females Single/Widowed/Divorced,1971,SAS07,c71s07_299,,1971_sas07_present_persons,A20-24FS,8,,5a_ascii_grid1971_Age_A20.24FS.asc
,,done,x,Age,Age 20 to 24 Females Married ,1971,SAS07,c71s07_313,,1971_sas07_present_persons,A20-24FM,8,,5a_ascii_grid1971_Age_A20.24FM.asc
,,done,x,Age,Age 25 to 29 Males Single/Widowed/Divorced,1971,SAS07,c71s07_272,,1971_sas07_present_persons,A25-29MS,8,,5a_ascii_grid1971_Age_A25.29MS.asc
,,done,x,Age,Age 25 to 29 Males Married,1971,SAS07,c71s07_286,,1971_sas07_present_persons,A25-29MM,8,,5a_ascii_grid1971_Age_A25.29MM.asc
,,done,x,Age,Age 25 to 29 Females Single/Widowed/Divorced,1971,SAS07,c71s07_300,,1971_sas07_present_persons,A25-29FS,8,,5a_ascii_grid1971_Age_A25.29FS.asc
,,done,x,Age,Age 25 to 29 Females Married ,1971,SAS07,c71s07_314,,1971_sas07_present_persons,A25-29FM,8,,5a_ascii_grid1971_Age_A25.29FM.asc
,,done,x,Age,Age 30 to 34 Males Single/Widowed/Divorced,1971,SAS07,c71s07_273,,1971_sas07_present_persons,A30-34MS,8,,5a_ascii_grid1971_Age_A30.34MS.asc
,,done,x,Age,Age 30 to 34 Males Married,1971,SAS07,c71s07_287,,1971_sas07_present_persons,A30-34MM,8,,5a_ascii_grid1971_Age_A30.34MM.asc
,,done,x,Age,Age 30 to 34 Females Single/Widowed/Divorced,1971,SAS07,c71s07_301,,1971_sas07_present_persons,A30-34FS,8,,5a_ascii_grid1971_Age_A30.34FS.asc
,,done,x,Age,Age 30 to 34 Females Married ,1971,SAS07,c71s07_315,,1971_sas07_present_persons,A30-34FM,8,,5a_ascii_grid1971_Age_A30.34FM.asc
,,done,x,Age,Age 35 to 39 Males Single/Widowed/Divorced,1971,SAS07,c71s07_274,,1971_sas07_present_persons,A35-39MS,8,,5a_ascii_grid1971_Age_A35.39MS.asc
,,done,x,Age,Age 35 to 39 Males Married,1971,SAS07,c71s07_288,,1971_sas07_present_persons,A35-39MM,8,,5a_ascii_grid1971_Age_A35.39MM.asc
,,done,x,Age,Age 35 to 39 Females Single/Widowed/Divorced,1971,SAS07,c71s07_302,,1971_sas07_present_persons,A35-39FS,8,,5a_ascii_grid1971_Age_A35.39FS.asc
,,done,x,Age,Age 35 to 39 Females Married ,1971,SAS07,c71s07_316,,1971_sas07_present_persons,A35-39FM,8,,5a_ascii_grid1971_Age_A35.39FM.asc
,,done,x,Age,Age 40 to 44 Males Single/Widowed/Divorced,1971,SAS07,c71s07_275,,1971_sas07_present_persons,A40-44MS,8,,5a_ascii_grid1971_Age_A40.44MS.asc
,,done,x,Age,Age 40 to 44 Males Married,1971,SAS07,c71s07_289,,1971_sas07_present_persons,A40-44MM,8,,5a_ascii_grid1971_Age_A40.44MM.asc
,,done,x,Age,Age 40 to 44 Females Single/Widowed/Divorced,1971,SAS07,c71s07_303,,1971_sas07_present_persons,A40-44FS,8,,5a_ascii_grid1971_Age_A40.44FS.asc
,,done,x,Age,Age 40 to 44 Females Married ,1971,SAS07,c71s07_317,,1971_sas07_present_persons,A40-44FM,8,,5a_ascii_grid1971_Age_A40.44FM.asc
,,done,x,Age,Age 45 to 49 Males Single/Widowed/Divorced,1971,SAS07,c71s07_276,,1971_sas07_present_persons,A45-49MS,8,,5a_ascii_grid1971_Age_A45.49MS.asc
,,done,x,Age,Age 45 to 49 Males Married,1971,SAS07,c71s07_290,,1971_sas07_present_persons,A45-49MM,8,,5a_ascii_grid1971_Age_A45.49MM.asc
,,done,x,Age,Age 45 to 49 Females Single/Widowed/Divorced,1971,SAS07,c71s07_304,,1971_sas07_present_persons,A45-49FS,8,,5a_ascii_grid1971_Age_A45.49FS.asc
,,done,x,Age,Age 45 to 49 Females Married ,1971,SAS07,c71s07_318,,1971_sas07_present_persons,A45-49FM,8,,5a_ascii_grid1971_Age_A45.49FM.asc
,,done,x,Age,Age 50 to 54 Males Single/Widowed/Divorced,1971,SAS07,c71s07_277,,1971_sas07_present_persons,A50-54MS,8,,5a_ascii_grid1971_Age_A50.54MS.asc
,,done,x,Age,Age 50 to 54 Males Married,1971,SAS07,c71s07_291,,1971_sas07_present_persons,A50-54MM,8,,5a_ascii_grid1971_Age_A50.54MM.asc
,,done,x,Age,Age 50 to 54 Females Single/Widowed/Divorced,1971,SAS07,c71s07_305,,1971_sas07_present_persons,A50-54FS,8,,5a_ascii_grid1971_Age_A50.54FS.asc
,,done,x,Age,Age 50 to 54 Females Married ,1971,SAS07,c71s07_319,,1971_sas07_present_persons,A50-54FM,8,,5a_ascii_grid1971_Age_A50.54FM.asc
,,done,x,Age,Age 55 to 59 Males Single/Widowed/Divorced,1971,SAS07,c71s07_278,,1971_sas07_present_persons,A55-59MS,8,,5a_ascii_grid1971_Age_A55.59MS.asc
,,done,x,Age,Age 55 to 59 Males Married,1971,SAS07,c71s07_292,,1971_sas07_present_persons,A55-59MM,8,,5a_ascii_grid1971_Age_A55.59MM.asc
,,done,x,Age,Age 55 to 59 Females Single/Widowed/Divorced,1971,SAS07,c71s07_306,,1971_sas07_present_persons,A55-59FS,8,,5a_ascii_grid1971_Age_A55.59FS.asc
,,done,x,Age,Age 55 to 59 Females Married ,1971,SAS07,c71s07_320,,1971_sas07_present_persons,A55-59FM,8,,5a_ascii_grid1971_Age_A55.59FM.asc
,,done,x,Age,Age 60 to 64 Males Single/Widowed/Divorced,1971,SAS07,c71s07_279,,1971_sas07_present_persons,A60-64MS,8,,5a_ascii_grid1971_Age_A60.64MS.asc
,,done,x,Age,Age 60 to 64 Males Married,1971,SAS07,c71s07_293,,1971_sas07_present_persons,A60-64MM,8,,5a_ascii_grid1971_Age_A60.64MM.asc
,,done,x,Age,Age 60 to 64 Females Single/Widowed/Divorced,1971,SAS07,c71s07_307,,1971_sas07_present_persons,A60-64FS,8,,5a_ascii_grid1971_Age_A60.64FS.asc
,,done,x,Age,Age 60 to 64 Females Married ,1971,SAS07,c71s07_321,,1971_sas07_present_persons,A60-64FM,8,,5a_ascii_grid1971_Age_A60.64FM.asc
,,done,x,Age,Age 65 to 69 Males Single/Widowed/Divorced,1971,SAS07,c71s07_280,,1971_sas07_present_persons,A65-69MS,8,,5a_ascii_grid1971_Age_A65.69MS.asc
,,done,x,Age,Age 65 to 69 Males Married,1971,SAS07,c71s07_294,,1971_sas07_present_persons,A65-69MM,8,,5a_ascii_grid1971_Age_A65.69MM.asc
,,done,x,Age,Age 65 to 69 Females Single/Widowed/Divorced,1971,SAS07,c71s07_308,,1971_sas07_present_persons,A65-69FS,8,,5a_ascii_grid1971_Age_A65.69FS.asc
,,done,x,Age,Age 65 to 69 Females Married ,1971,SAS07,c71s07_322,,1971_sas07_present_persons,A65-69FM,8,,5a_ascii_grid1971_Age_A65.69FM.asc
,,done,x,Age,Age 70 to 74 Males Single/Widowed/Divorced,1971,SAS07,c71s07_281,,1971_sas07_present_persons,A70-75MS,8,,5a_ascii_grid1971_Age_A70.75MS.asc
,,done,x,Age,Age 70 to 74 Males Married,1971,SAS07,c71s07_295,,1971_sas07_present_persons,A70-75MM,8,,5a_ascii_grid1971_Age_A70.75MM.asc
,,done,x,Age,Age 70 to 74 Females Single/Widowed/Divorced,1971,SAS07,c71s07_309,,1971_sas07_present_persons,A70-75FS,8,,5a_ascii_grid1971_Age_A70.75FS.asc
,,done,x,Age,Age 70 to 74 Females Married ,1971,SAS07,c71s07_323,,1971_sas07_present_persons,A70-75FM,8,,5a_ascii_grid1971_Age_A70.75FM.asc
